"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
241,"Clear Lake Shores Aldermen (Vote For 3)","Rick Fisher","",420,24.66,0,2281,2,1,"0","1162"
242,"Galveston County MUD No. 52 (Vote For 2)","Joe Garcia","",116,38.41,0,2120,1,1,"0","166"
243,"Galveston County MUD No. 52 (Vote For 2)","Joseph Gelardi","",80,26.49,0,2120,1,1,"0","166"
244,"Galveston County MUD No. 52 (Vote For 2)","Richard White","",106,35.10,0,2120,1,1,"0","166"
245,"MUD 79 Proposition A (Vote For 1)","FOR DISTRICT","",1,100.00,0,2507,1,1,"0","0"
246,"MUD 79 Proposition A (Vote For 1)","AGAINST DISTRICT","",0,0.00,0,2507,1,1,"0","0"
247,"MUD 79 Proposition B (Vote For 1)","FOR","",1,100.00,0,2507,1,1,"0","0"
248,"MUD 79 Proposition B (Vote For 1)","AGAINST","",0,0.00,0,2507,1,1,"0","0"
249,"MUD 79 Proposition C (Vote For 1)","FOR","",1,100.00,0,2507,1,1,"0","0"
250,"MUD 79 Proposition C (Vote For 1)","AGAINST","",0,0.00,0,2507,1,1,"0","0"
251,"MUD 79 Proposition D (Vote For 1)","FOR","",1,100.00,0,2507,1,1,"0","0"
252,"MUD 79 Proposition D (Vote For 1)","AGAINST","",0,0.00,0,2507,1,1,"0","0"
253,"MUD 79 Proposition E (Vote For 1)","FOR","",1,100.00,0,2507,1,1,"0","0"
254,"MUD 79 Proposition E (Vote For 1)","AGAINST","",0,0.00,0,2507,1,1,"0","0"
255,"MUD 79 Proposition F (Vote For 1)","FOR","",1,100.00,0,2507,1,1,"0","0"
256,"MUD 79 Proposition F (Vote For 1)","AGAINST","",0,0.00,0,2507,1,1,"0","0"
257,"MUD 79 Proposition G (Vote For 1)","FOR","",1,100.00,0,2507,1,1,"0","0"
258,"MUD 79 Proposition G (Vote For 1)","AGAINST","",0,0.00,0,2507,1,1,"0","0"
259,"MUD 79 Proposition H (Vote For 1)","FOR","",1,100.00,0,2507,1,1,"0","0"
260,"MUD 79 Proposition H (Vote For 1)","AGAINST","",0,0.00,0,2507,1,1,"0","0"
261,"MUD 79 Proposition I (Vote For 1)","FOR","",1,100.00,0,2507,1,1,"0","0"
262,"MUD 79 Proposition I (Vote For 1)","AGAINST","",0,0.00,0,2507,1,1,"0","0"
263,"MUD 79 Directors (Vote For 5)","Cosme Reyes, Jr.","",1,20.00,0,2507,1,1,"0","0"
264,"MUD 79 Directors (Vote For 5)","Gretchen Marie Hollas","",1,20.00,0,2507,1,1,"0","0"
265,"MUD 79 Directors (Vote For 5)","Michael Ray Arterburn","",1,20.00,0,2507,1,1,"0","0"
266,"MUD 79 Directors (Vote For 5)","Robert Russell Tautenhahn II","",1,20.00,0,2507,1,1,"0","0"
267,"MUD 79 Directors (Vote For 5)","Roxanne Marie Crawford","",1,20.00,0,2507,1,1,"0","0"
268,"San Leon MUD Directors (Vote For 2)","Ken Bishop","",1045,41.50,0,2338,1,1,"0","2052"
269,"San Leon MUD Directors (Vote For 2)","Keith Gossett","",953,37.85,0,2338,1,1,"0","2052"
270,"San Leon MUD Directors (Vote For 2)","Phillip David Haskett","",520,20.65,0,2338,1,1,"0","2052"
271,"Santa Fe ISD Trustee Position 1 (Vote For 1)","Jacqueline Meyer","",5203,49.24,0,32730,14,14,"0","2901"
272,"Santa Fe ISD Trustee Position 1 (Vote For 1)","Matt Crable","",5364,50.76,0,32730,14,14,"0","2901"
273,"Santa Fe ISD Trustee Position 2 (Vote For 1)","Rosie Yanas","",4414,41.59,0,32730,14,14,"0","2854"
274,"Santa Fe ISD Trustee Position 2 (Vote For 1)","Patrick Kelly","",6199,58.41,0,32730,14,14,"0","2854"
275,"Santa Fe ISD Trustee Position 3 (Vote For 1)","Eric E. Davenport","",6929,65.95,0,32730,14,14,"0","2961"
276,"Santa Fe ISD Trustee Position 3 (Vote For 1)","Donna Hayes","",3578,34.05,0,32730,14,14,"0","2961"
277,"Santa Fe ISD Trustee Position 7 (Vote For 1)","Angie Lambert","",6221,59.83,0,32730,14,14,"0","3071"
278,"Santa Fe ISD Trustee Position 7 (Vote For 1)","Wayne Logan","",2912,28.01,0,32730,14,14,"0","3071"
279,"Santa Fe ISD Trustee Position 7 (Vote For 1)","Andrew Mills","",1264,12.16,0,32730,14,14,"0","3071"
